표준버스정류장ID,노선번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수
106000474,N61,늘푸른근린공원(00163),0,0,0,0,0,0,15,32,43,62,65,47
106000474,N61,늘푸른근린공원(00069),0,0,38,91,82,129,22,57,0,0,0,0
106000475,N61,늘푸른근린공원(00026),67,37,66,56,15,24,0,0,0,0,0,0
106000475,N61,늘푸른근린공원(00120),0,0,0,0,30,33,35,18,36,20,0,0
107000001,N15,길음2동주민센터(00022),106,153,70,65,21,23,0,0,0,0,0,0
107000001,N15,길음2동주민센터(00093),0,0,0,0,66,44,78,136,27,76,0,0
107000001,N16,길음2동주민센터(00019),49,82,113,78,15,14,0,0,0,0,0,0
107000001,N16,길음2동주민센터(00082),0,0,0,0,18,30,44,51,12,43,0,0
107000002,N15,길음2동주민센터(00053),0,0,14,112,44,250,4,12,0,0,0,0
107000002,N15,길음2동주민센터(00128),0,0,0,0,0,0,25,164,38,103,28,48
107000002,N16,길음2동주민센터(00114),0,0,0,0,0,0,16,84,111,148,30,22
107000002,N16,길음2동주민센터(00046),0,0,15,60,57,178,15,36,0,0,0,0
107000003,N15,길음뉴타운(00023),213,254,162,100,50,46,0,0,0,0,0,0
107000003,N15,길음뉴타운(00094),0,0,0,0,124,82,146,148,25,131,0,0
107000003,N16,길음뉴타운(00020),80,127,184,160,45,30,0,0,0,0,0,0
107000003,N16,길음뉴타운(00083),0,0,0,0,71,19,112,64,32,87,0,0
107000004,N15,길음뉴타운(00052),0,0,38,104,67,214,0,0,0,0,0,0
107000004,N15,길음뉴타운(00127),0,0,0,0,0,0,56,139,51,105,4,27
107000004,N16,길음뉴타운(00113),0,0,0,0,0,0,44,96,123,139,9,7
107000004,N16,길음뉴타운(00045),0,0,34,78,93,233,15,56,0,0,0,0
107000005,N15,미아리고개.미아리예술극장(00095),0,0,0,0,30,71,36,122,19,127,0,0
107000005,N15,미아리고개.미아리예술극장(00024),64,111,39,68,26,15,0,0,0,0,0,0
107000005,N16,미아리고개.미아리예술극장(00021),30,65,77,137,7,24,0,0,0,0,0,0
107000005,N16,미아리고개.미아리예술극장(00084),0,0,0,0,26,33,13,103,83,121,0,0
107000006,N15,미아리고개.미아리예술극장(00126),0,0,0,0,0,0,17,109,24,84,5,10
107000006,N15,미아리고개.미아리예술극장(00051),0,0,12,73,19,176,0,0,0,0,0,0
107000006,N16,미아리고개.미아리예술극장(00112),0,0,0,0,0,0,30,101,73,133,2,5
107000006,N16,미아리고개.미아리예술극장(00044),0,0,13,58,27,165,6,49,0,0,0,0
107000007,N15,돈암사거리.성신여대입구(00096),0,0,0,0,146,108,162,64,24,18,0,0
107000007,N15,돈암사거리.성신여대입구(00025),310,181,258,93,88,44,0,0,0,0,0,0
107000007,N16,돈암사거리.성신여대입구(00022),183,118,307,192,74,38,0,0,0,0,0,0
107000007,N16,돈암사거리.성신여대입구(00085),0,0,0,0,84,32,136,93,34,119,0,0
107000008,N15,돈암사거리.성신여대입구(00050),0,0,179,174,435,267,0,0,0,0,0,0
107000008,N15,돈암사거리.성신여대입구(00125),0,0,0,0,0,0,302,194,169,111,21,38
107000008,N16,돈암사거리.성신여대입구(00111),0,0,0,0,0,0,266,207,292,221,3,6
107000008,N16,돈암사거리.성신여대입구(00043),0,0,210,171,580,358,63,39,0,0,0,0
107000009,N31,삼선교.한성대학교(00086),0,0,0,0,102,32,68,8,85,11,0,0
107000009,N31,삼선교.한성대학교(00010),92,21,58,18,0,0,0,0,0,0,0,0
107000009,N16,삼선교.한성대학교(00023),101,98,169,169,26,31,0,0,0,0,0,0
107000010,N31,삼선교.한성대학교.조소앙활동터(00067),0,0,40,101,45,218,15,117,0,0,0,0
107000010,N31,삼선교.한성대학교.조소앙활동터(00137),0,0,0,0,0,0,21,87,16,165,7,68
107000010,N16,삼선교.한성대학교.조소앙활동터(00110),0,0,0,0,0,0,156,163,108,155,0,0
107000010,N16,삼선교.한성대학교.조소앙활동터(00042),0,0,104,165,204,240,3,6,0,0,0,0
107000015,N51,북서울꿈의숲(00071),0,0,4,4,9,26,3,7,0,0,0,0
107000015,N51,북서울꿈의숲(00151),0,0,0,0,0,0,1,4,13,12,18,8
107000016,N51,장월초등학교(00072),0,0,5,15,8,62,10,20,0,0,0,0
107000016,N51,장월초등학교(00152),0,0,0,0,0,0,5,4,11,28,31,42
107000017,N31,국민대앞(00001),47,1,23,0,0,0,0,0,0,0,0,4
107000017,N31,국민대앞(00077),0,0,53,0,44,0,40,2,0,0,0,0
107000018,N31,국민대앞(00076),0,0,1,24,5,18,3,18,0,0,0,0
107000018,N31,국민대앞(00146),0,0,0,0,0,0,0,1,2,61,0,21
107000021,N31,청덕초등학교(00002),18,0,11,0,0,0,0,0,0,0,0,0
107000021,N31,청덕초등학교(00078),0,0,0,0,36,2,14,0,0,0,0,0
107000022,N31,청덕초교(00145),0,0,0,0,0,0,0,1,1,111,0,45
107000022,N31,청덕초교(00075),0,0,0,115,1,134,0,51,0,0,0,0
107000023,N31,북악중학교(00003),26,0,18,0,0,0,0,0,0,0,0,0
107000023,N31,북악중학교(00079),0,0,0,0,57,1,45,1,0,0,0,0
107000024,N31,고려대사범대학부속고등학교(00144),0,0,0,0,0,0,0,9,1,140,0,65
107000024,N31,고려대사범대학부속고등학교(00074),0,0,3,118,3,252,0,88,0,0,0,0
107000025,N31,봉국사(00080),0,0,0,0,15,3,7,1,0,0,0,0
107000025,N31,봉국사(00004),3,0,5,1,0,0,0,0,0,0,0,0
107000026,N31,봉국사(00073),0,0,6,65,5,133,3,38,0,0,0,0
107000026,N31,봉국사(00143),0,0,0,0,0,0,1,12,0,63,0,47
107000027,N31,정릉2동주민센터(00081),0,0,0,0,95,16,88,9,0,0,0,0
107000027,N31,정릉2동주민센터(00005),50,1,56,1,0,0,0,0,0,0,0,0
107000028,N31,정릉2동주민센터(00142),0,0,0,0,0,0,6,29,5,71,3,43
107000028,N31,정릉2동주민센터(00072),0,0,7,95,6,241,5,119,0,0,0,0
107000038,N51,KT월곡지사(00139),0,0,0,0,0,0,3,13,3,31,13,10
107000038,N51,KT월곡지사(00059),0,0,6,27,14,52,4,25,0,0,0,0
107000039,N51,KT월곡지사(00099),0,0,0,0,16,20,8,19,26,4,0,0
107000039,N51,KT월곡지사(00021),9,20,17,10,0,0,0,0,0,0,0,0
107000040,N51,종암SK아파트(00140),0,0,0,0,0,0,8,19,28,27,5,27
107000040,N51,종암SK아파트(00060),0,0,0,35,13,58,8,30,0,0,0,0
107000041,N51,성북구보건소(00020),29,7,25,18,0,0,0,0,0,0,0,0
107000041,N51,성북구보건소(00098),0,0,0,0,28,5,25,4,65,1,0,0
107000042,N51,월곡역(00141),0,0,0,0,0,0,2,53,7,60,2,51
107000042,N51,월곡역(00061),0,0,5,83,16,162,7,95,0,0,0,0
107000043,N51,월곡역(00019),42,12,71,35,0,0,0,0,0,0,0,0
107000043,N51,월곡역(00097),0,0,0,0,52,33,15,17,13,3,0,0
107000044,N51,동덕여대앞(00142),0,0,0,0,0,0,5,23,18,37,6,41
107000044,N51,동덕여대앞(00062),0,0,4,37,13,84,4,40,0,0,0,0
107000045,N51,한국과학기술연구원입구(00063),0,0,2,23,5,49,0,28,0,0,0,0
107000045,N51,한국과학기술연구원입구(00143),0,0,0,0,0,0,3,22,1,26,0,20
107000046,N51,상월곡역(00018),17,0,18,19,0,0,0,0,0,0,0,0
107000046,N51,상월곡역(00096),0,0,0,0,36,14,21,1,27,0,0,0
107000047,N51,월곡중학교(00064),0,0,3,6,8,46,2,28,0,0,0,0
107000047,N51,월곡중학교(00144),0,0,0,0,0,0,1,15,4,36,16,15
107000048,N51,월곡중학교(00017),5,8,9,16,0,0,0,0,0,0,0,0
107000048,N51,월곡중학교(00095),0,0,0,0,5,5,28,11,1,0,0,0
107000049,N51,새석관시장(00145),0,0,0,0,0,0,3,30,21,55,1,16
107000049,N51,새석관시장(00065),0,0,0,13,4,49,1,45,0,0,0,0
107000050,N51,새석관시장(00094),0,0,0,0,24,9,41,11,1,2,0,0
107000050,N51,새석관시장(00016),5,0,15,7,0,0,0,0,0,0,0,0
107000051,N13,돌곶이역(00130),0,0,0,0,0,0,22,76,18,127,15,34
107000051,N13,돌곶이역(00054),1,1,65,161,40,160,6,12,0,0,0,0
107000052,N51,돌곶이역(00015),19,21,84,27,0,0,0,0,0,0,0,0
107000052,N51,돌곶이역(00093),0,0,0,0,92,13,88,16,0,0,0,0
107000053,N13,장위동동원베네스트.온누리병원(00021),18,14,28,51,0,0,0,0,0,0,0,0
107000053,N13,장위동동원베네스트.온누리병원(00091),0,0,0,0,8,58,6,10,4,18,0,0
107000054,N13,석관동주민센터(00131),0,0,0,0,0,0,8,62,4,106,4,22
107000054,N13,석관동주민센터(00055),0,0,28,79,19,134,3,5,0,0,0,0
107000055,N13,석관동주민센터(00020),33,20,34,18,0,0,0,0,0,0,0,0
107000055,N13,석관동주민센터(00090),0,0,0,0,28,25,38,17,7,23,0,0
107000057,N13,석계역(00132),0,0,0,0,0,0,32,111,38,213,11,55
107000057,N13,석계역(00056),0,0,134,154,65,154,11,25,0,0,0,0
107000060,N51,종암사거리입구(00022),46,44,48,18,0,0,0,0,0,0,0,0
107000060,N51,종암사거리입구(00100),0,0,0,0,28,9,24,10,10,3,0,0
107000061,N51,종암사거리입구(00138),0,0,0,0,0,0,3,12,18,64,61,37
107000061,N51,종암사거리입구(00058),0,0,13,48,9,62,11,22,0,0,0,0
107000062,N51,종암동주민센터(00023),43,7,90,6,0,0,0,0,0,0,0,0
107000062,N51,종암동주민센터(00101),0,0,0,0,28,7,22,9,9,1,0,0
107000063,N51,종암동주민센터(00057),0,0,11,99,11,91,5,46,0,0,0,0
107000063,N51,종암동주민센터(00137),0,0,0,0,0,0,26,35,20,59,10,48
107000064,N51,숭례초교(00024),104,23,78,31,0,2,0,0,0,0,0,0
107000064,N51,숭례초교(00102),0,0,0,0,48,12,55,5,12,4,0,0
107000065,N51,숭례초등학교(00136),0,0,0,0,0,0,2,73,3,127,1,71
107000065,N51,숭례초등학교(00056),0,0,15,179,16,193,10,96,0,0,0,0
107000066,N51,고대앞(00103),0,0,0,0,38,8,66,9,25,7,0,0
107000066,N51,고대앞(00025),137,15,135,18,3,0,0,0,0,0,0,0
107000067,N51,우신향병원(00026),123,22,89,21,11,2,0,0,0,0,0,0
