표준버스정류장ID,노선번호,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,정류소명,X좌표,Y좌표,매칭된지하철역,역과거리(m)
100000389,N31,76,25,155,74,0,0,0,0,0,0,0,0,종로2가,126.986536,37.570238,을지로입구,586.7546308129034
100000389,N37,65,42,531,196,309,96,0,0,0,0,0,0,종로2가,126.986536,37.570238,을지로입구,586.7546308129034
100000389,N62,0,0,0,0,268,75,237,85,55,59,0,0,종로2가,126.986536,37.570238,을지로입구,586.7546308129034
100000389,N26,275,16,494,136,165,43,0,0,0,0,0,0,종로2가,126.986536,37.570238,을지로입구,586.7546308129034
100000389,N62,312,131,523,158,121,20,0,0,0,0,0,0,종로2가,126.986536,37.570238,을지로입구,586.7546308129034
100000389,N26,0,0,0,0,149,68,309,193,71,45,0,0,종로2가,126.986536,37.570238,을지로입구,586.7546308129034
100000389,N31,0,0,0,0,115,45,63,43,48,16,0,0,종로2가,126.986536,37.570238,을지로입구,586.7546308129034
100000389,N37,0,0,0,0,275,130,514,208,173,55,0,0,종로2가,126.986536,37.570238,을지로입구,586.7546308129034
100000390,N15,75,13,586,95,614,76,0,0,0,0,0,0,종로3가.탑골공원,126.9892689914,37.5702567706,을지로3가,492.51874229752326
100000390,N26,0,0,408,149,420,134,0,0,0,0,0,0,종로3가.탑골공원,126.9892689914,37.5702567706,을지로3가,492.51874229752326
100000390,N15,0,0,0,0,202,23,505,71,242,50,0,0,종로3가.탑골공원,126.9892689914,37.5702567706,을지로3가,492.51874229752326
100000390,N31,0,0,0,0,0,0,63,56,75,92,16,51,종로3가.탑골공원,126.9892689914,37.5702567706,을지로3가,492.51874229752326
100000390,N31,0,0,220,108,248,87,55,39,0,0,0,0,종로3가.탑골공원,126.9892689914,37.5702567706,을지로3가,492.51874229752326
100000390,N62,150,38,397,100,187,72,0,0,0,0,0,0,종로3가.탑골공원,126.9892689914,37.5702567706,을지로3가,492.51874229752326
100000390,N26,0,0,0,0,0,0,355,113,217,66,0,0,종로3가.탑골공원,126.9892689914,37.5702567706,을지로3가,492.51874229752326
100000390,N62,0,0,0,0,151,34,234,108,113,49,0,0,종로3가.탑골공원,126.9892689914,37.5702567706,을지로3가,492.51874229752326
